platform,store_name,review_text,tokens,food_score,price_score,service_score,atmosphere_score,general_score,category_total_score,category_total_label,food_label,price_label,service_label,atmosphere_label,general_label,food_matched_words,price_matched_words,service_matched_words,atmosphere_matched_words,general_matched_words
kakao,쭌곱창,매장이 넓진 않지만 아늑한 분위기라 친구들이랑 조용히 떠들면서 먹기에 ㅈ정말 좋았고 양이 정말 푸짐해서 좋았어요,매장 넓다 않다 아늑하다 분위기 친구 조용하다 떠들다 먹기 정말 좋다 정말 푸다 좋다,0,1,0,3,3,7,positive,neutral,positive,neutral,positive,positive,,푸다:1[token],,매장 넓다:1[token] 아늑하다:1[token] 조용하다:1[token],정말 좋다:2[token] 좋다:1[token]
kakao,쭌곱창,친구한테 추천받아서 왔는데 메뉴구성이 너무 알차고 일단 맛이 너무 맛있어여 ..💖 세트 C로 먹었는데 너무 맛있고 재방문의사 완전있어요 두명단위로 세트가 구성되어있어서 메뉴고르기도 좋았어요 친구들한테 똑같이 추천할듯 ..!!,친구 추천 받다 오다 메뉴 구성 너무 알차다 일단 너무 맛있다 세트 먹다 너무 맛있다 방문 의사 완전 명단 위로 세트 구성 되어다 메뉴 고르다 기도 좋다 친구 똑같이 추천,3,0,0,0,3,6,positive,positive,neutral,neutral,neutral,positive,너무 맛있다:2[token] 맛있다:1[token],,,,추천:1[token] 알차다:1[token] 좋다:1[token]
kakao,쭌곱창,직원이 친절하진 않고 맛은 배달음식맛정도,직원 친절하다 않다 배달 음식 정도,0,0,1,0,0,1,positive,neutral,neutral,positive,neutral,neutral,,,직원 친절하다:1[token],,
kakao,쭌곱창,"후기 좋아서 갔는데 카카오맵,네이버 리뷰 이벤트를 진행하더라고요.. 위생도 너무 별로고.. 곱창에서도 냄새나고 먹고나서 저랑 같이 간 지인 전부 배탈났어요 ㅠㅠㅠ.. 진짜 제대로 탈나서 죽을 뻔한.. ㅠㅠㅠㅜ",후기 좋다 가다 카카오 네이버 리뷰 이벤트 진행 위생 너무 별로 곱창 냄새 나다 먹다 같이 지인 전부 배탈 나다 진짜 제대로 타다 뻔하다,-2,0,0,0,-2,-4,negative,negative,neutral,neutral,neutral,negative,냄새 나다:-1[token] 배탈:-1[token],,,,너무 별로:-2[token] 좋다:1[token] 배탈:-1[token]
kakao,쭌곱창,홍대 오랜만에 와서 어딜갈까 고민하다가 방문했습니다! 친절하시고 너무 맛있어요~ 다음에는 세트메뉴도 도전해보고 싶은 맛이네요!ㅎㅎ,홍대 오다 어딜 갈다 고민 방문 친절하다 너무 맛있다 다음 세트 메뉴 도전 해보다 싶다,2,0,1,0,0,3,positive,positive,neutral,positive,neutral,neutral,너무 맛있다:2[token],,친절하다:1[token],,
kakao,쭌곱창,가게 분위기도 어두운데 사장님이신건지 직원분이신건지 근무하시는 분이 처음부터 너무 무기력해보이고 메뉴 나와서 설명을 해주시는데 말이 너무 빨라서 무슨말인지 잘 안들리더라구요 아무래도 음식은 한달에 한번은 자체 맛 점검을 해보셔야할것 같습니다 양념이 너무 많아서 계란찜이 양념에 담궈져서 먹은것 같지도 않고 양념은 너무 달고.. 외국분들을 겨냥해서 맛을 달게 하신건지 몰라도 너무 달고 양념은 많고 가격대비 가성비도 떨어진다고 느꼈어요 양념도 단데 생크림을 찍으니 매콤함이 중화되는게 아니라 더 달다고 느껴지고 양념도 많은데 볶음밥도 약간 붉은 양념에 비벼져서 나오고.. 보완이 필요한것 같습니다,가게 분위기 울다 사장 건지다 직원 건지다 근무 처음 너무 무기 해보다 메뉴 나오다 설명 해주다 너무 자다 들리다 아무래도 음식 한번 자체 점검 해보다 야하다 같다 양념 너무 많다 계란찜 양념 담그다 먹다 같다 않다 양념 너무 외국 겨냥 건지다 모르다 너무 양념 많다 가격 대비 가성 비도 떨어지다 느끼다 양념 달다 생크림 찍다 매콤 중화 아니다 달다 느껴지다 양념 많다 볶음밥 약간 붉다 양념 비비다 나오다 보완 필요하다 같다,0,0,0,0,0,0,neutral,neutral,neutral,neutral,neutral,neutral,,,,,가성:1[token] 떨어지다:-1[token]
kakao,쭌곱창,"처음 와봤는데 아늑하고 친절하시구 너무 좋아요,,! 소스도 다양하구 구성도 알찹니당 홍대 곱창은 여기가 원픽이에여 이제",처음 오다 보다 아늑하다 친절하다 너무 좋다 소스 다양하다 구성 알차다 홍대 곱창 여기 이제,0,0,1,1,4,6,positive,neutral,neutral,positive,positive,positive,,,친절하다:1[token],아늑하다:1[token],너무 좋다:2[token] 다양하다:1[token] 알차다:1[token]
kakao,쭌곱창,맛있다는 평이 많아서 가보았는데.. 와... 양념이 너무너무 달아서 못먹겠더라고요.. 곱창도 질기고 냄새나고.. 비싼 돈 주고 기분만 망친 곳이었어요..,맛있다 평이 많다 가보다 오다 양념 너무 너무 달다 먹다 곱창 기고 냄새 나다 비싸다 주다 기분 망치다 이다,0,-1,0,0,-1,-2,negative,neutral,negative,neutral,neutral,negative,냄새 나다:-1[token] 맛있다:1[token],비싸다:-1[token],,,망치다:-1[token]
kakao,쭌곱창,두번째 방문인데 올때마다 맛있고 가성비도 엄청 좋아요 주먹밥이랑 파랑 같이 먹으면 더 맛있어요!! 추천추천,두번째 방문 맛있다 가성 비도 엄청 좋다 주먹밥 파랑 같이 먹다 맛있다 추천 추천,1,0,0,0,4,5,positive,positive,neutral,neutral,neutral,positive,맛있다:1[token],,,,엄청 좋다:2[token] 가성:1[token] 추천:1[token]
kakao,쭌곱창,서비스도 너무 좋고 맛있어요!! 홍대 또 오면 재방문할 듯용,서비스 너무 좋다 맛있다 홍대 오다 방문 듯용,1,0,0,0,2,3,positive,positive,neutral,neutral,neutral,positive,맛있다:1[token],,,,너무 좋다:2[token]
kakao,쭌곱창,잡내도 안 나고 소스도 맛있어요! 찍어먹는 소스들도 맛있어서 재방문할 것 같아요!,잡다 나다 소스 맛있다 찍다 먹다 소스 맛있다 방문 같다,2,0,0,0,0,2,positive,positive,neutral,neutral,neutral,neutral,소스 맛있다:1[token] 맛있다:1[token],,,,
kakao,쭌곱창,홍대에서 이 정도 가격에 둘이서 곱창 푸짐하게 먹을 수 있는 곳이 얼마 없을 것 같네요.. 곱창이 당기는데 마땅히 먹을 곳이 없다면 강추입니다,홍대 정도 가격 둘이서 곱창 푸다 지다 먹다 얼마 같다 곱창 당기다 마땅하다 먹다 강추 이다,0,1,0,0,2,3,positive,neutral,positive,neutral,neutral,positive,,푸다 지다:1[token],,,당기다:1[token] 강추:1[token]
kakao,쭌곱창,ㄹㅇ 배고픈 상태에서 먹는 거라 웬만하면 맛없없인데 양념이 너무 짜고 투머치로 자극적이라 맛깔난 양념과 직화 곱창의 조화가 아니라 짜고 맵기만한 양념으로 승부를 보려는 느낌이라 아쉬웠음 다른 메뉴는 안 먹어봐서 모르겠지만 이건 별로였음,배고프다 상태 먹다 웬만하다 맛없다 양념 너무 짜다 투머치 자극 맛깔나다 양념 직화 곱창 조화 아니다 짜다 기만 양념 승부 보다 느낌 아쉽다 다른 메뉴 먹다 보다 모르다 별로 이다,-5,0,0,0,-3,-8,negative,negative,neutral,neutral,neutral,negative,너무 짜다:-2[token] 맛없다:-1[token] 맛없다:-2[token] 맛깔나다:1[token] 짜다:-1[token],,,,별로 이다:-1[token] 배고프다:-1[token] 웬만하다:1[token] 투머치:-1[token] 아쉽다:-1[token]
kakao,쭌곱창,무조건 세트로시키시길... 소고기와 곱창의 조합이 어매이징~~진짜 맛있슴다,무조건 세트 시키다 소고기 곱창 조합 어매 이징 진짜 맛있다,2,0,0,0,0,2,positive,positive,neutral,neutral,neutral,neutral,진짜 맛있다:2[token],,,,
kakao,쭌곱창,"곱창갈비 or 곱창닭발세트라니… 환장하는 메뉴조합 ! 맛도있고, 생크림 치즈 소스도 신기해용! 홍대에서 새로운맛 찾으시면 추천^_−☆",곱창 갈비 곱창 닭발 세트 환장하다 메뉴 조합 생크림 치즈 소스 신기하다 홍대 새롭다 찾다 추천,1,0,0,0,3,4,positive,positive,neutral,neutral,neutral,positive,신기하다:1[token],,,,환장하다:1[token] 새롭다:1[token] 추천:1[token]
